Latitude (decimal degrees):	40.202
Longitude (decimal degrees):	-76.735
Elevation (m):	111
Radiation database:	PVGIS-NSRDB


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150727:2200,262.3,26.08,28.17,1.45,0.0
20150727:2300,68.28,14.76,27.87,1.38,0.0
20150728:0000,19.32,3.69,26.73,1.52,0.0
20150728:0100,0.0,0.0,25.68,1.59,0.0
20150728:0200,0.0,0.0,24.57,1.66,0.0
20150728:0300,0.0,0.0,23.68,1.59,0.0
20150728:0400,0.0,0.0,22.95,1.45,0.0
20150728:0500,0.0,0.0,22.19,1.31,0.0
20150728:0600,0.0,0.0,21.56,1.1,0.0
20150728:0700,0.0,0.0,22.73,0.34,0.0
20150728:0800,0.0,0.0,22.5,0.62,0.0
20150728:0900,0.0,0.0,20.73,1.03,0.0
20150728:1000,0.0,0.0,20.72,0.83,0.0
20150728:1100,44.28,9.7,21.53,0.41,0.0
20150728:1200,115.54,20.88,23.52,0.34,0.0
20150728:1300,207.91,32.31,25.88,0.41,0.0
20150728:1400,599.78,43.67,27.68,0.62,0.0
20150728:1500,778.04,54.46,29.01,0.69,0.0
20150728:1600,898.5,63.61,30.03,0.62,0.0
20150728:1700,951.85,68.63,31.3,0.55,0.0
20150728:1800,931.44,66.57,32.31,0.62,0.0
20150728:1900,838.9,58.83,32.71,0.14,0.0
20150728:2000,683.35,48.57,32.68,0.48,0.0
20150728:2100,483.54,37.38,32.79,0.62,0.0
20150728:2200,263.7,25.94,31.95,1.1,0.0
20150728:2300,67.77,14.61,31.16,1.59,0.0
20150729:0000,18.52,3.53,29.52,2.21,0.0
20150729:0100,0.0,0.0,27.91,2.34,0.0
20150729:0200,0.0,0.0,26.58,2.07,0.0
20150729:0300,0.0,0.0,25.66,1.93,0.0
20150729:0400,0.0,0.0,24.82,1.79,0.0
20150729:0500,0.0,0.0,24.15,1.59,0.0
20150729:0600,0.0,0.0,23.39,1.31,0.0
20150729:0700,0.0,0.0,24.9,0.14,0.0
20150729:0800,0.0,0.0,22.53,0.9,0.0
20150729:0900,0.0,0.0,21.91,1.45,0.0
20150729:1000,0.0,0.0,21.32,1.52,0.0
20150729:1100,45.89,9.55,21.46,1.31,0.0
20150729:1200,169.46,20.75,25.13,0.55,0.0
20150729:1300,327.3,32.18,28.02,1.03,0.0
20150729:1400,507.37,43.53,29.58,1.79,0.0
20150729:1500,693.29,54.3,30.57,2.0,0.0
20150729:1600,890.19,63.42,31.44,1.86,0.0
20150729:1700,942.43,68.4,31.71,2.21,0.0
20150729:1800,731.98,66.35,31.39,2.55,0.0
20150729:1900,592.3,58.65,30.97,2.07,0.0
20150729:2000,497.49,48.42,31.16,2.21,0.0
20150729:2100,477.08,37.24,31.11,2.14,0.0
20150729:2200,224.73,25.8,30.7,2.14,0.0
20150729:2300,65.65,14.47,28.96,2.69,0.0
20150730:0000,16.91,3.37,27.46,2.55,0.0
20150730:0100,0.0,0.0,26.45,2.34,0.0
20150730:0200,0.0,0.0,25.92,1.93,0.0
20150730:0300,0.0,0.0,25.53,2.0,0.0
20150730:0400,0.0,0.0,25.12,2.07,0.0
20150730:0500,0.0,0.0,24.71,2.0,0.0
20150730:0600,0.0,0.0,24.4,1.86,0.0
20150730:0700,0.0,0.0,24.48,1.93,0.0
20150730:0800,0.0,0.0,24.14,1.72,0.0
20150730:0900,0.0,0.0,23.75,1.52,0.0
20150730:1000,0.0,0.0,23.37,1.59,0.0
20150730:1100,45.08,9.41,23.58,1.45,0.0
20150730:1200,106.33,20.61,24.99,1.93,0.0
20150730:1300,323.18,32.04,26.72,1.79,0.0
20150730:1400,444.92,43.39,28.51,1.66,0.0
20150730:1500,245.41,54.14,30.33,1.66,0.0
20150730:1600,283.15,63.22,31.75,1.93,0.0
20150730:1700,521.95,68.16,30.85,2.07,0.0
20150730:1800,266.02,66.13,29.44,2.69,0.0
20150730:1900,665.88,58.47,25.59,2.14,0.0
20150730:2000,612.49,48.26,28.16,1.38,0.0
20150730:2100,474.01,37.09,29.65,0.97,0.0
20150730:2200,220.78,25.65,30.55,1.24,0.0
20150730:2300,75.32,14.32,29.94,1.24,0.0
20150731:0000,16.91,3.2,28.4,1.45,0.0
20150731:0100,0.0,0.0,26.29,1.79,0.0
20150731:0200,0.0,0.0,25.3,2.14,0.0
20150731:0300,0.0,0.0,25.09,2.76,0.0
20150731:0400,0.0,0.0,24.74,3.03,0.0
20150731:0500,0.0,0.0,23.99,2.69,0.0
20150731:0600,0.0,0.0,22.84,2.07,0.0
20150731:0700,0.0,0.0,23.34,2.76,0.0
20150731:0800,0.0,0.0,22.64,2.14,0.0
20150731:0900,0.0,0.0,21.41,1.79,0.0
20150731:1000,0.0,0.0,20.41,1.72,0.0
20150731:1100,42.67,9.26,20.09,1.52,0.0
20150731:1200,173.14,20.47,22.91,1.52,0.0
20150731:1300,395.21,31.9,25.08,2.07,0.0
20150731:1400,611.64,43.24,26.98,1.93,0.0
20150731:1500,791.21,53.98,28.49,2.07,0.0
20150731:1600,913.36,63.02,29.64,2.07,0.0
20150731:1700,965.92,67.92,30.73,2.14,0.0
20150731:1800,944.36,65.9,32.0,2.34,0.0
20150731:1900,850.31,58.28,29.84,1.86,0.0
20150731:2000,692.85,48.09,30.03,2.34,0.0
20150731:2100,488.97,36.94,29.39,2.0,0.0
20150731:2200,266.18,25.5,29.14,1.66,0.0
20150731:2300,66.84,14.16,28.32,1.17,0.0
20150801:0000,16.1,3.03,27.94,1.17,0.0
20150801:0100,0.0,0.0,25.84,1.59,0.0
20150801:0200,0.0,0.0,24.49,1.86,0.0
20150801:0300,0.0,0.0,23.79,2.0,0.0
20150801:0400,0.0,0.0,23.02,1.93,0.0
20150801:0500,0.0,0.0,22.22,1.93,0.0
20150801:0600,0.0,0.0,21.56,2.0,0.0
20150801:0700,0.0,0.0,21.28,2.07,0.0
20150801:0800,0.0,0.0,20.77,2.0,0.0
20150801:0900,0.0,0.0,20.36,2.0,0.0
20150801:1000,0.0,0.0,20.05,1.93,0.0
20150801:1100,42.67,9.11,20.4,1.66,0.0
20150801:1200,169.15,20.33,22.8,1.66,0.0
20150801:1300,387.62,31.77,24.78,2.41,0.0
20150801:1400,604.09,43.1,26.73,2.69,0.0
20150801:1500,786.22,53.81,27.92,3.17,0.0
20150801:1600,913.37,62.82,28.94,3.38,0.0
20150801:1700,969.08,67.68,29.68,3.31,0.0
20150801:1800,949.53,65.67,29.88,3.31,0.0
20150801:1900,855.29,58.08,29.8,3.03,0.0
20150801:2000,230.09,47.92,29.4,3.1,0.0
20150801:2100,261.58,36.78,28.77,2.97,0.0
20150801:2200,205.36,25.34,28.4,2.97,0.0
20150801:2300,66.26,14.0,27.87,2.69,0.0
20150802:0000,15.3,2.85,26.63,2.48,0.0
20150802:0100,0.0,0.0,25.58,2.62,0.0
20150802:0200,0.0,0.0,24.82,2.41,0.0
20150802:0300,0.0,0.0,23.83,1.86,0.0
20150802:0400,0.0,0.0,22.57,1.72,0.0
20150802:0500,0.0,0.0,21.52,1.66,0.0
20150802:0600,0.0,0.0,20.58,1.66,0.0
20150802:0700,0.0,0.0,19.46,1.52,0.0
20150802:0800,0.0,0.0,18.71,1.45,0.0
20150802:0900,0.0,0.0,18.05,1.38,0.0
20150802:1000,0.0,0.0,17.54,1.38,0.0
20150802:1100,41.06,8.97,17.71,1.17,0.0
20150802:1200,172.7,20.19,21.63,0.69,0.0
20150802:1300,395.31,31.63,24.63,1.1,0.0
20150802:1400,613.27,42.95,26.52,1.17,0.0
20150802:1500,792.18,53.64,28.01,1.66,0.0
20150802:1600,648.9,62.61,29.11,2.14,0.0
20150802:1700,446.78,67.43,29.31,2.14,0.0
20150802:1800,674.67,65.43,29.63,2.14,0.0
20150802:1900,766.09,57.88,28.95,2.28,0.0
20150802:2000,687.7,47.75,29.33,2.48,0.0
20150802:2100,484.75,36.61,29.27,2.48,0.0
20150802:2200,262.86,25.18,29.33,2.34,0.0
20150802:2300,64.9,13.83,28.81,1.86,0.0
20150803:0000,14.49,2.66,27.06,2.0,0.0
20150803:0100,0.0,0.0,25.4,2.14,0.0
20150803:0200,0.0,0.0,24.33,2.14,0.0
20150803:0300,0.0,0.0,23.5,2.14,0.0
20150803:0400,0.0,0.0,22.78,2.0,0.0
20150803:0500,0.0,0.0,22.17,1.86,0.0
20150803:0600,0.0,0.0,21.48,1.72,0.0
20150803:0700,0.0,0.0,20.94,2.14,0.0
20150803:0800,0.0,0.0,20.66,2.07,0.0
20150803:0900,0.0,0.0,20.31,2.0,0.0
20150803:1000,0.0,0.0,19.92,2.0,0.0
20150803:1100,40.25,8.81,20.08,1.79,0.0
20150803:1200,169.62,20.05,22.31,1.79,0.0
20150803:1300,390.22,31.49,24.84,2.0,0.0
20150803:1400,606.63,42.8,27.26,2.28,0.0
20150803:1500,787.26,53.47,29.3,2.9,0.0
20150803:1600,911.53,62.4,30.74,3.03,0.0
20150803:1700,874.27,67.17,31.84,3.1,0.0
20150803:1800,667.57,65.18,32.6,3.38,0.0
20150803:1900,615.55,57.67,32.01,3.17,0.0
20150803:2000,587.81,47.56,32.58,3.45,0.0
20150803:2100,410.92,36.44,32.03,3.17,0.0
20150803:2200,262.92,25.01,31.35,2.41,0.0
20150803:2300,37.93,13.65,30.23,1.86,0.0
20150804:0000,4.03,2.48,28.48,1.72,0.0
20150804:0100,0.0,0.0,26.88,1.79,0.0
20150804:0200,0.0,0.0,25.65,1.72,0.0
20150804:0300,0.0,0.0,24.81,1.59,0.0
20150804:0400,0.0,0.0,24.03,1.38,0.0
20150804:0500,0.0,0.0,23.32,1.59,0.0
20150804:0600,0.0,0.0,22.78,1.52,0.0
20150804:0700,0.0,0.0,20.88,1.1,0.0
20150804:0800,0.0,0.0,20.46,1.45,0.0
20150804:0900,0.0,0.0,20.25,1.31,0.0
20150804:1000,0.0,0.0,20.05,1.59,0.0
20150804:1100,39.45,8.66,20.02,1.72,0.0
20150804:1200,170.17,19.91,20.94,1.86,0.0
20150804:1300,392.42,31.35,22.38,2.14,0.0
20150804:1400,612.29,42.65,24.5,2.14,0.0
20150804:1500,796.42,53.3,26.67,2.48,0.0
20150804:1600,924.14,62.18,28.55,3.1,0.0
20150804:1700,981.09,66.92,29.77,3.17,0.0
20150804:1800,962.46,64.93,30.84,3.17,0.0
20150804:1900,868.74,57.46,30.8,3.38,0.0
20150804:2000,708.86,47.38,31.11,3.24,0.0
20150804:2100,499.88,36.27,31.22,3.24,0.0
20150804:2200,269.76,24.84,30.61,3.03,0.0
20150804:2300,64.43,13.48,29.52,2.48,0.0
20150805:0000,12.88,2.28,27.63,2.07,0.0
20150805:0100,0.0,0.0,25.89,2.0,0.0
20150805:0200,0.0,0.0,24.61,1.79,0.0
20150805:0300,0.0,0.0,23.23,1.59,0.0
20150805:0400,0.0,0.0,22.0,1.38,0.0
20150805:0500,0.0,0.0,21.79,1.1,0.0
20150805:0600,0.0,0.0,21.25,1.03,0.0
20150805:0700,0.0,0.0,19.38,1.38,0.0
20150805:0800,0.0,0.0,18.88,1.31,0.0
20150805:0900,0.0,0.0,18.53,1.38,0.0
20150805:1000,0.0,0.0,18.29,1.45,0.0
20150805:1100,30.59,8.51,18.47,1.31,0.0
20150805:1200,159.22,19.76,21.07,0.9,0.0
20150805:1300,272.11,31.2,25.21,1.59,0.0
20150805:1400,618.0,42.5,26.69,2.0,0.0
20150805:1500,628.97,53.12,27.91,2.41,0.0
20150805:1600,924.44,61.97,28.95,2.76,0.0
20150805:1700,977.2,66.65,29.98,3.31,0.0
20150805:1800,432.18,64.67,30.6,3.79,0.0
20150805:1900,583.17,57.24,27.5,3.03,0.0
20150805:2000,698.15,47.18,28.6,3.31,0.0
20150805:2100,490.89,36.09,28.65,3.45,0.0
20150805:2200,264.43,24.66,28.17,3.59,0.0
20150805:2300,63.0,13.29,27.36,3.24,0.0
20150806:0000,12.08,2.08,26.02,2.55,0.0
20150806:0100,0.0,0.0,24.57,2.14,0.0
20150806:0200,0.0,0.0,23.32,2.0,0.0
20150806:0300,0.0,0.0,22.28,2.07,0.0
20150806:0400,0.0,0.0,21.4,2.14,0.0
20150806:0500,0.0,0.0,20.56,2.0,0.0
20150806:0600,0.0,0.0,19.61,1.72,0.0
20150806:0700,0.0,0.0,18.89,1.79,0.0
20150806:0800,0.0,0.0,18.04,1.52,0.0
20150806:0900,0.0,0.0,17.31,1.45,0.0
20150806:1000,0.0,0.0,16.74,1.31,0.0
20150806:1100,28.18,8.36,16.78,1.1,0.0
20150806:1200,142.91,19.62,19.17,0.9,0.0
20150806:1300,363.97,31.06,20.91,0.9,0.0
20150806:1400,531.08,42.35,22.33,0.48,0.0
20150806:1500,724.32,52.95,24.17,0.14,0.0
20150806:1600,821.9,61.74,25.72,0.62,0.0
20150806:1700,855.16,66.39,26.87,0.83,0.0
20150806:1800,818.61,64.41,27.71,0.76,0.0
20150806:1900,451.94,57.01,26.63,0.83,0.0
20150806:2000,324.67,46.98,27.02,0.76,0.0
20150806:2100,143.81,35.9,26.79,0.69,0.0
20150806:2200,182.56,24.48,26.08,1.03,0.0
20150806:2300,72.6,13.11,25.16,1.38,0.0
20150807:0000,7.25,1.88,23.75,1.66,0.0
20150807:0100,0.0,0.0,22.65,1.72,0.0
20150807:0200,0.0,0.0,21.92,1.24,0.0
20150807:0300,0.0,0.0,21.42,0.9,0.0
20150807:0400,0.0,0.0,20.89,0.55,0.0
20150807:0500,0.0,0.0,20.81,0.41,0.0
20150807:0600,0.0,0.0,20.13,1.24,0.0
20150807:0700,0.0,0.0,19.1,1.59,0.0
20150807:0800,0.0,0.0,18.71,1.66,0.0
20150807:0900,0.0,0.0,18.55,1.72,0.0
20150807:1000,0.0,0.0,18.33,1.79,0.0
20150807:1100,37.03,8.2,18.31,1.66,0.0
20150807:1200,169.16,19.47,19.42,1.79,0.0
20150807:1300,389.57,30.91,21.23,1.93,0.0
20150807:1400,604.95,42.19,23.18,2.0,0.0
20150807:1500,783.96,52.77,24.95,2.07,0.0
20150807:1600,729.68,61.52,26.58,2.0,0.0
20150807:1700,771.35,66.11,28.04,1.79,0.0
20150807:1800,668.44,64.14,28.84,1.45,0.0
20150807:1900,652.05,56.78,27.68,0.83,0.0
20150807:2000,687.46,46.78,27.78,0.83,0.0
20150807:2100,483.36,35.71,28.4,0.69,0.0
20150807:2200,259.12,24.29,27.94,0.62,0.0
20150807:2300,60.75,12.91,27.39,0.97,0.0
20150808:0000,9.66,1.67,26.19,1.38,0.0
20150808:0100,0.0,0.0,24.9,1.59,0.0
20150808:0200,0.0,0.0,24.1,1.52,0.0
20150808:0300,0.0,0.0,23.46,1.24,0.0
20150808:0400,0.0,0.0,22.81,1.1,0.0
20150808:0500,0.0,0.0,22.01,1.31,0.0
20150808:0600,0.0,0.0,21.09,1.45,0.0
20150808:0700,0.0,0.0,20.58,1.03,0.0
20150808:0800,0.0,0.0,20.25,0.97,0.0
20150808:0900,0.0,0.0,19.79,1.03,0.0
20150808:1000,0.0,0.0,19.47,1.03,0.0
20150808:1100,36.23,8.05,19.7,0.69,0.0
20150808:1200,171.23,19.32,21.44,0.62,0.0
20150808:1300,395.44,30.76,22.52,1.03,0.0
20150808:1400,392.05,42.03,23.64,1.24,0.0
20150808:1500,290.53,52.58,25.23,1.03,0.0
20150808:1600,918.28,61.29,26.78,0.69,0.0
20150808:1700,969.92,65.84,26.93,0.62,0.0
20150808:1800,413.07,63.87,26.82,0.41,0.0
20150808:1900,542.69,56.54,26.12,0.97,0.0
20150808:2000,692.5,46.57,26.84,0.83,0.0
20150808:2100,286.6,35.51,26.7,0.69,0.0
20150808:2200,260.63,24.1,26.52,0.69,0.0
20150808:2300,60.03,12.71,26.06,1.03,0.0
20150809:0000,8.86,1.46,25.2,1.31,0.0
20150809:0100,0.0,0.0,24.22,1.52,0.0
20150809:0200,0.0,0.0,23.35,1.52,0.0
20150809:0300,0.0,0.0,22.57,1.52,0.0
20150809:0400,0.0,0.0,21.94,1.45,0.0
20150809:0500,0.0,0.0,21.3,1.31,0.0
20150809:0600,0.0,0.0,20.98,1.1,0.0
20150809:0700,0.0,0.0,20.97,0.76,0.0
20150809:0800,0.0,0.0,20.6,0.62,0.0
20150809:0900,0.0,0.0,20.49,0.41,0.0
20150809:1000,0.0,0.0,20.28,0.41,0.0
20150809:1100,14.49,7.89,20.29,0.14,0.0
20150809:1200,108.35,19.17,21.58,0.34,0.0
20150809:1300,100.55,30.62,23.18,0.62,0.0
20150809:1400,210.5,41.87,25.03,0.62,0.0
20150809:1500,616.41,52.4,26.51,0.76,0.0
20150809:1600,525.54,61.06,27.36,0.69,0.0
20150809:1700,525.11,65.56,28.25,0.62,0.0
20150809:1800,618.52,63.59,28.67,0.69,0.0
20150809:1900,328.29,56.3,28.6,0.41,0.0
20150809:2000,486.09,46.35,28.82,0.76,0.0
20150809:2100,349.3,35.31,28.45,1.31,0.0
20150809:2200,258.74,23.9,27.86,2.0,0.0
20150809:2300,59.22,12.51,27.03,2.34,0.0
20150810:0000,8.05,1.24,25.87,2.28,0.0
20150810:0100,0.0,0.0,24.68,2.21,0.0
20150810:0200,0.0,0.0,23.73,2.14,0.0
20150810:0300,0.0,0.0,22.95,2.0,0.0
20150810:0400,0.0,0.0,22.4,2.0,0.0
20150810:0500,0.0,0.0,21.93,2.0,0.0
20150810:0600,0.0,0.0,21.54,2.0,0.0
20150810:0700,0.0,0.0,20.98,2.21,0.0
20150810:0800,0.0,0.0,20.83,2.14,0.0
20150810:0900,0.0,0.0,20.6,2.14,0.0
20150810:1000,0.0,0.0,20.44,2.34,0.0
20150810:1100,26.57,7.73,20.41,2.28,0.0
20150810:1200,116.29,19.02,21.19,2.76,0.0
20150810:1300,93.5,30.47,22.37,3.38,0.0
20150810:1400,68.8,41.71,23.52,3.1,0.0
20150810:1500,135.33,52.21,24.7,3.1,0.0
20150810:1600,161.0,60.82,26.09,3.59,0.0
20150810:1700,67.92,65.27,25.48,3.52,0.0
20150810:1800,121.94,63.31,26.28,3.79,0.0
20150810:1900,281.23,56.05,22.03,3.79,0.0
20150810:2000,110.25,46.13,23.03,4.34,0.0
20150810:2100,74.09,35.11,22.8,3.93,0.0
20150810:2200,114.51,23.69,23.07,4.21,0.0
20150810:2300,39.69,12.3,22.86,4.07,0.0
20150811:0000,2.42,1.02,22.42,3.1,0.0
20150811:0100,0.0,0.0,21.77,3.03,0.0
20150811:0200,0.0,0.0,21.58,3.03,0.0
20150811:0300,0.0,0.0,21.53,3.03,0.0
20150811:0400,0.0,0.0,21.47,3.17,0.0
20150811:0500,0.0,0.0,21.25,3.31,0.0
20150811:0600,0.0,0.0,20.49,3.1,0.0
20150811:0700,0.0,0.0,20.33,3.38,0.0
20150811:0800,0.0,0.0,20.5,2.76,0.0
20150811:0900,0.0,0.0,20.49,2.69,0.0
20150811:1000,0.0,0.0,20.39,2.62,0.0
20150811:1100,33.01,7.57,20.37,2.55,0.0
20150811:1200,130.46,18.87,20.61,2.69,0.0
20150811:1300,141.15,30.32,20.97,2.69,0.0
20150811:1400,416.86,41.55,21.6,2.9,0.0
20150811:1500,585.05,52.02,23.21,2.14,0.0
20150811:1600,712.68,60.59,24.49,2.0,0.0
20150811:1700,310.71,64.99,26.1,1.79,0.0
20150811:1800,808.49,63.02,28.07,1.86,0.0
20150811:1900,841.78,55.8,26.18,2.62,0.0
20150811:2000,684.0,45.91,27.07,2.55,0.0
20150811:2100,480.03,34.89,28.04,2.76,0.0
20150811:2200,255.6,23.49,27.85,2.97,0.0
20150811:2300,57.6,12.09,26.89,2.41,0.0
20150812:0000,0.0,0.0,25.54,2.28,0.0
20150812:0100,0.0,0.0,24.28,2.21,0.0
20150812:0200,0.0,0.0,23.34,2.21,0.0
20150812:0300,0.0,0.0,22.61,2.34,0.0
20150812:0400,0.0,0.0,21.99,2.48,0.0
20150812:0500,0.0,0.0,21.37,2.55,0.0
20150812:0600,0.0,0.0,20.77,2.41,0.0
20150812:0700,0.0,0.0,20.5,2.21,0.0
20150812:0800,0.0,0.0,19.95,2.34,0.0
20150812:0900,0.0,0.0,19.33,2.34,0.0
20150812:1000,0.0,0.0,18.8,2.34,0.0
20150812:1100,33.81,7.41,18.6,2.21,0.0
20150812:1200,173.48,18.72,19.5,2.55,0.0
20150812:1300,402.0,30.17,20.75,2.9,0.0
20150812:1400,624.99,41.39,22.14,2.83,0.0
20150812:1500,809.99,51.83,23.3,2.97,0.0
20150812:1600,564.52,60.34,24.24,3.1,0.0
20150812:1700,536.21,64.69,25.02,3.17,0.0
20150812:1800,437.7,62.73,25.9,3.17,0.0
20150812:1900,867.58,55.54,26.09,2.76,0.0
20150812:2000,704.49,45.68,26.29,2.62,0.0
20150812:2100,492.89,34.68,26.3,2.48,0.0
20150812:2200,122.79,23.27,26.12,2.34,0.0
20150812:2300,33.52,11.87,25.06,1.86,0.0
20150813:0000,0.0,0.0,23.78,2.14,0.0
20150813:0100,0.0,0.0,23.1,2.28,0.0
20150813:0200,0.0,0.0,22.27,2.14,0.0
20150813:0300,0.0,0.0,21.33,2.0,0.0
20150813:0400,0.0,0.0,20.66,2.0,0.0
20150813:0500,0.0,0.0,19.96,2.07,0.0
20150813:0600,0.0,0.0,19.49,1.86,0.0
20150813:0700,0.0,0.0,18.71,1.79,0.0
20150813:0800,0.0,0.0,17.97,1.72,0.0
20150813:0900,0.0,0.0,17.26,1.59,0.0
20150813:1000,0.0,0.0,16.73,1.52,0.0
20150813:1100,33.81,7.25,16.49,1.38,0.0
20150813:1200,179.81,18.57,18.67,1.31,0.0
20150813:1300,416.28,30.01,20.36,1.38,0.0
20150813:1400,645.33,41.22,21.9,0.9,0.0
20150813:1500,834.77,51.63,22.81,1.1,0.0
20150813:1600,962.1,60.1,23.98,1.31,0.0
20150813:1700,1016.34,64.4,24.85,1.45,0.0
20150813:1800,991.91,62.43,25.86,1.52,0.0
20150813:1900,890.46,55.28,25.58,1.31,0.0
20150813:2000,724.19,45.44,26.24,1.38,0.0
20150813:2100,507.85,34.45,26.39,1.38,0.0
20150813:2200,269.48,23.05,26.26,1.31,0.0
20150813:2300,57.68,11.65,25.15,0.83,0.0
20150814:0000,0.0,0.0,23.89,1.24,0.0
20150814:0100,0.0,0.0,21.78,1.86,0.0
20150814:0200,0.0,0.0,20.33,1.93,0.0
20150814:0300,0.0,0.0,19.05,1.72,0.0
20150814:0400,0.0,0.0,18.13,1.59,0.0
20150814:0500,0.0,0.0,17.29,1.45,0.0
20150814:0600,0.0,0.0,16.69,1.31,0.0
20150814:0700,0.0,0.0,16.54,1.79,0.0
20150814:0800,0.0,0.0,16.16,1.72,0.0
20150814:0900,0.0,0.0,15.9,1.66,0.0
20150814:1000,0.0,0.0,15.71,1.59,0.0
20150814:1100,32.2,7.09,15.7,1.45,0.0
20150814:1200,174.46,18.42,18.86,0.83,0.0
20150814:1300,403.44,29.86,22.52,0.97,0.0
20150814:1400,626.11,41.06,25.11,1.45,0.0
20150814:1500,810.35,51.44,26.74,1.59,0.0
20150814:1600,932.73,59.85,27.92,1.38,0.0
20150814:1700,984.5,64.1,28.91,1.24,0.0
20150814:1800,959.05,62.13,29.72,1.24,0.0
20150814:1900,859.18,55.01,29.08,0.97,0.0
20150814:2000,696.06,45.2,29.31,1.03,0.0
20150814:2100,484.62,34.23,29.41,1.1,0.0
20150814:2200,255.72,22.83,29.22,1.24,0.0
20150814:2300,54.97,11.43,28.15,1.31,0.0
20150815:0000,0.0,0.0,26.34,1.93,0.0
20150815:0100,0.0,0.0,24.83,2.14,0.0
20150815:0200,0.0,0.0,23.85,2.21,0.0
20150815:0300,0.0,0.0,22.92,2.21,0.0
20150815:0400,0.0,0.0,22.2,2.14,0.0
20150815:0500,0.0,0.0,21.55,2.0,0.0
20150815:0600,0.0,0.0,20.99,1.93,0.0
20150815:0700,0.0,0.0,20.36,1.66,0.0
20150815:0800,0.0,0.0,19.82,1.66,0.0
20150815:0900,0.0,0.0,19.31,1.59,0.0
20150815:1000,0.0,0.0,18.8,1.52,0.0
20150815:1100,31.4,6.93,18.59,1.38,0.0
20150815:1200,172.1,18.27,20.92,0.9,0.0
20150815:1300,399.37,29.7,23.83,0.97,0.0
20150815:1400,621.7,40.89,26.33,1.03,0.0
20150815:1500,804.75,51.24,28.51,1.1,0.0
20150815:1600,928.11,59.6,29.97,1.17,0.0
20150815:1700,979.83,63.79,31.03,1.45,0.0
20150815:1800,955.43,61.83,31.8,1.79,0.0
20150815:1900,856.58,54.73,31.73,2.0,0.0
20150815:2000,693.39,44.95,31.93,2.14,0.0
20150815:2100,483.78,33.99,31.8,2.21,0.0
20150815:2200,254.52,22.6,31.29,2.34,0.0
20150815:2300,54.07,11.19,30.1,1.93,0.0
20150816:0000,0.0,0.0,27.9,2.34,0.0
20150816:0100,0.0,0.0,26.18,2.48,0.0
20150816:0200,0.0,0.0,25.09,2.48,0.0
20150816:0300,0.0,0.0,24.23,2.34,0.0
20150816:0400,0.0,0.0,23.59,2.21,0.0
20150816:0500,0.0,0.0,23.02,2.0,0.0
20150816:0600,0.0,0.0,22.44,1.86,0.0
20150816:0700,0.0,0.0,21.72,1.66,0.0
20150816:0800,0.0,0.0,20.97,1.52,0.0
20150816:0900,0.0,0.0,20.31,1.45,0.0
20150816:1000,0.0,0.0,19.76,1.38,0.0
20150816:1100,30.59,6.77,19.49,1.31,0.0
20150816:1200,172.3,18.11,21.88,0.83,0.0
20150816:1300,399.77,29.55,24.68,0.55,0.0
20150816:1400,620.29,40.72,27.28,0.34,0.0
20150816:1500,803.38,51.03,29.47,0.28,0.0
20150816:1600,926.76,59.34,31.05,0.69,0.0
20150816:1700,978.46,63.49,32.19,1.24,0.0
20150816:1800,954.01,61.51,32.76,1.59,0.0
20150816:1900,687.5,54.45,32.03,1.03,0.0
20150816:2000,425.38,44.7,32.29,0.9,0.0
20150816:2100,483.86,33.76,32.45,1.03,0.0
20150816:2200,254.07,22.37,32.11,1.38,0.0
20150816:2300,53.15,10.96,30.84,1.66,0.0
20150817:0000,0.0,0.0,28.74,2.41,0.0
20150817:0100,0.0,0.0,27.29,2.55,0.0
20150817:0200,0.0,0.0,26.15,2.41,0.0
20150817:0300,0.0,0.0,25.36,2.21,0.0
20150817:0400,0.0,0.0,24.74,2.0,0.0
20150817:0500,0.0,0.0,24.26,1.86,0.0
20150817:0600,0.0,0.0,23.68,1.79,0.0
20150817:0700,0.0,0.0,23.02,1.72,0.0
20150817:0800,0.0,0.0,22.44,1.66,0.0
20150817:0900,0.0,0.0,21.81,1.52,0.0
20150817:1000,0.0,0.0,21.3,1.31,0.0
20150817:1100,30.59,6.61,21.06,0.97,0.0
20150817:1200,174.68,17.96,23.38,0.41,0.0
20150817:1300,404.71,29.39,26.22,0.34,0.0
20150817:1400,628.06,40.54,28.82,0.28,0.0
20150817:1500,811.69,50.83,30.77,0.21,0.0
20150817:1600,935.33,59.09,32.13,0.76,0.0
20150817:1700,985.99,63.18,33.05,1.31,0.0
20150817:1800,960.34,61.2,33.43,1.45,0.0
20150817:1900,860.08,54.17,33.08,1.24,0.0
20150817:2000,695.32,44.44,33.5,1.45,0.0
20150817:2100,483.01,33.52,33.35,1.72,0.0
20150817:2200,252.27,22.14,32.44,2.21,0.0
20150817:2300,52.17,10.72,30.97,2.69,0.0
20150818:0000,0.0,0.0,28.99,2.9,0.0
20150818:0100,0.0,0.0,27.53,2.69,0.0
20150818:0200,0.0,0.0,26.6,2.55,0.0
20150818:0300,0.0,0.0,25.89,2.41,0.0
20150818:0400,0.0,0.0,25.22,2.28,0.0
20150818:0500,0.0,0.0,24.68,2.0,0.0
20150818:0600,0.0,0.0,24.33,1.79,0.0
20150818:0700,0.0,0.0,24.05,1.79,0.0
